subject_id,fold,fold_part,original_label,class_id,class_name,video_path,video_filename,fps,width,height,total_frames,duration_sec
1,1,Fold1_part1,0,0,normal,data\uta_rldd\videos\Fold1_part1\01\0.mov,0.mov,29.97,1080,1920,18053,602.4
1,1,Fold1_part1,5,1,pre_fatigue,data\uta_rldd\videos\Fold1_part1\01\5.mov,5.mov,29.97,1080,1920,17969,599.6
1,1,Fold1_part1,10,2,drowsy,data\uta_rldd\videos\Fold1_part1\01\10.MOV,10.MOV,29.97,1080,1920,18011,601.0
2,1,Fold1_part1,0,0,normal,data\uta_rldd\videos\Fold1_part1\02\0.mov,0.mov,29.97,1080,1920,18263,609.4
2,1,Fold1_part1,5,1,pre_fatigue,data\uta_rldd\videos\Fold1_part1\02\5.MOV,5.MOV,29.97,1080,1920,18103,604.1
2,1,Fold1_part1,10,2,drowsy,data\uta_rldd\videos\Fold1_part1\02\10.MOV,10.MOV,29.97,1080,1920,18124,604.8
3,1,Fold1_part1,0,0,normal,data\uta_rldd\videos\Fold1_part1\03\0.MOV,0.MOV,29.97,1080,1920,20763,692.8
3,1,Fold1_part1,5,1,pre_fatigue,data\uta_rldd\videos\Fold1_part1\03\5.mov,5.mov,29.99,1080,720,18514,617.4
3,1,Fold1_part1,10,2,drowsy,data\uta_rldd\videos\Fold1_part1\03\10.mov,10.mov,30.0,1080,720,18480,616.1
4,1,Fold1_part1,0,0,normal,data\uta_rldd\videos\Fold1_part1\04\0.mp4,0.mp4,25.0,848,480,15364,614.6
4,1,Fold1_part1,5,1,pre_fatigue,data\uta_rldd\videos\Fold1_part1\04\5.mp4,5.mp4,30.0,1280,720,18224,607.5
4,1,Fold1_part1,10,2,drowsy,data\uta_rldd\videos\Fold1_part1\04\10.mp4,10.mp4,25.0,480,848,15394,615.8
5,1,Fold1_part1,0,0,normal,data\uta_rldd\videos\Fold1_part1\05\0.MOV,0.MOV,30.02,720,1280,18410,613.2
5,1,Fold1_part1,5,1,pre_fatigue,data\uta_rldd\videos\Fold1_part1\05\5.MOV,5.MOV,30.02,720,1280,18062,601.6
5,1,Fold1_part1,10,2,drowsy,data\uta_rldd\videos\Fold1_part1\05\10.MOV,10.MOV,30.02,720,1280,18050,601.2
6,1,Fold1_part1,0,0,normal,data\uta_rldd\videos\Fold1_part1\06\0.mp4,0.mp4,24.96,1920,1080,15230,610.1
6,1,Fold1_part1,5,1,pre_fatigue,data\uta_rldd\videos\Fold1_part1\06\5.mp4,5.mp4,29.91,1920,1080,13117,438.6
6,1,Fold1_part1,10,2,drowsy,data\uta_rldd\videos\Fold1_part1\06\10.mp4,10.mp4,23.82,1920,1080,10233,429.6
