subject_id,fold,class_id,class_name,video_filename,window_start_ms,window_end_ms,avg_ear,blink_rate,avg_blink_duration,prolonged_blink_count,perclos,yawn_count
1,1,0,normal,0.mov,0,60000,0.291578,20.0,113.4,0,0.039466,0
1,1,0,normal,0.mov,10000,70000,0.294425,17.0,109.9,0,0.032814,0
1,1,0,normal,0.mov,20000,80000,0.295287,16.0,110.5,0,0.031146,0
1,1,0,normal,0.mov,30000,90000,0.298345,15.0,109.0,0,0.028921,0
1,1,0,normal,0.mov,40000,100000,0.30055,12.0,103.0,0,0.022247,0
1,1,0,normal,0.mov,50000,110000,0.298051,12.0,100.2,0,0.021135,0
1,1,0,normal,0.mov,60000,120000,0.296542,12.0,111.3,0,0.022803,0
1,1,0,normal,0.mov,70000,130000,0.290245,14.0,126.4,0,0.030033,0
1,1,0,normal,0.mov,80000,140000,0.282102,16.0,135.5,0,0.036707,0
1,1,0,normal,0.mov,90000,150000,0.276714,19.0,156.3,0,0.050056,0
1,1,0,normal,0.mov,100000,160000,0.275534,22.0,154.6,0,0.056698,0
1,1,0,normal,0.mov,110000,170000,0.274625,25.0,152.1,0,0.063404,0
1,1,0,normal,0.mov,120000,180000,0.272444,28.0,150.1,0,0.070078,0
1,1,0,normal,0.mov,130000,190000,0.274548,31.0,142.1,0,0.075042,0
1,1,0,normal,0.mov,140000,200000,0.277489,33.0,142.6,0,0.080089,0
1,1,0,normal,0.mov,150000,210000,0.278757,31.0,132.4,0,0.070634,0
1,1,0,normal,0.mov,160000,220000,0.273935,27.0,192.9,1,0.089544,0
1,1,0,normal,0.mov,170000,230000,0.271245,29.0,193.4,1,0.096774,0
1,1,0,normal,0.mov,180000,240000,0.271203,28.0,201.5,1,0.09733,0
1,1,0,normal,0.mov,190000,250000,0.272275,26.0,210.5,1,0.093437,0
1,1,0,normal,0.mov,200000,260000,0.269781,30.0,201.3,1,0.102892,0
1,1,0,normal,0.mov,210000,270000,0.271624,29.0,209.4,1,0.10178,0
1,1,0,normal,0.mov,220000,280000,0.273453,30.0,156.9,0,0.079533,0
1,1,0,normal,0.mov,230000,290000,0.273795,27.0,154.5,0,0.070634,0
1,1,0,normal,0.mov,240000,300000,0.270607,30.0,150.2,0,0.076196,0
1,1,0,normal,0.mov,250000,310000,0.266708,31.0,153.9,0,0.080089,0
1,1,0,normal,0.mov,260000,320000,0.267053,25.0,150.9,0,0.063369,0
1,1,0,normal,0.mov,270000,330000,0.263101,28.0,157.3,0,0.075083,0
1,1,0,normal,0.mov,280000,340000,0.263525,31.0,151.8,0,0.078977,0
1,1,0,normal,0.mov,290000,350000,0.265089,33.0,153.7,0,0.084491,0
1,1,0,normal,0.mov,300000,360000,0.266139,35.0,162.9,1,0.095822,0
1,1,0,normal,0.mov,310000,370000,0.266895,37.0,157.8,1,0.09805,0
1,1,0,normal,0.mov,320000,380000,0.268121,40.0,158.4,1,0.106407,0
1,1,0,normal,0.mov,330000,390000,0.269465,43.0,148.1,1,0.106964,0
1,1,0,normal,0.mov,340000,400000,0.271166,42.0,146.9,1,0.103621,0
1,1,0,normal,0.mov,350000,410000,0.270193,43.0,147.4,1,0.106407,0
1,1,0,normal,0.mov,360000,420000,0.266572,41.0,148.2,0,0.10178,0
1,1,0,normal,0.mov,370000,430000,0.260377,40.0,195.2,2,0.130701,0
1,1,0,normal,0.mov,380000,440000,0.259613,38.0,201.2,2,0.12792,0
1,1,0,normal,0.mov,390000,450000,0.261104,31.0,219.7,2,0.114572,0
1,1,0,normal,0.mov,400000,460000,0.26195,29.0,231.5,2,0.112903,0
1,1,0,normal,0.mov,410000,470000,0.26553,26.0,236.3,2,0.103448,0
1,1,0,normal,0.mov,420000,480000,0.274133,20.0,242.0,2,0.081712,0
1,1,0,normal,0.mov,430000,490000,0.284373,16.0,154.4,0,0.042825,0
1,1,0,normal,0.mov,440000,500000,0.287354,12.0,141.9,0,0.03059,0
1,1,0,normal,0.mov,450000,510000,0.288338,13.0,125.8,0,0.029461,0
1,1,0,normal,0.mov,460000,520000,0.287612,13.0,123.1,0,0.029477,0
1,1,0,normal,0.mov,470000,530000,0.286267,13.0,123.2,0,0.028365,0
1,1,0,normal,0.mov,480000,540000,0.282988,13.0,136.1,0,0.031702,0
1,1,0,normal,0.mov,490000,550000,0.284821,12.0,133.6,0,0.028921,0
1,1,0,normal,0.mov,500000,560000,0.287024,16.0,121.1,0,0.034483,0
1,1,0,normal,0.mov,510000,570000,0.290031,17.0,125.8,0,0.037264,0
1,1,0,normal,0.mov,520000,580000,0.291268,17.0,121.8,0,0.035595,0
1,1,0,normal,0.mov,530000,590000,0.288632,16.0,133.6,0,0.03782,0
